,Datetime,ITM,Product,Instrument,B/S,Price,FillQty,multilegreportingtype,TTOrderId,FirstLeg,SecondLeg,Structure,Algo,Tag,Parent_tag,Parent_firstleg,Tenore,start,id,Hedged,Final_Index
14195,2022-03-01 11:39:16.270,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,6dUSr19k2uJC6K2ANPWJkQ,,I Mar22
14196,2022-03-01 11:39:16.270,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,EmzQTHTdOYDGMXAPGwtoRw,,I Apr22
14197,2022-03-01 11:39:16.270,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,8h07gzdaeC97f8u6g6yANj,,I Mar22
14198,2022-03-01 11:39:16.270,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,Lk95cLQlH7LH0OeBzGl4CH,,I Mar22
14199,2022-03-01 11:39:16.270,VSI,I,I Apr22,Sell,100.495,-1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,8mJRDKAWODsK55m6D3ow0d,,I Apr22
14200,2022-03-01 11:39:16.280,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,3,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,KSHTDpyBn0yGL0XOP0un4q,,I Mar22
14201,2022-03-01 11:39:16.280,VSI,I,I Mar22,Buy,100.515,3,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,LJVYYf3L4bWL8bNf4SwCDd,,I Mar22
14202,2022-03-01 11:39:16.280,VSI,I,I Apr22,Sell,100.495,-3,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Apr22,Apr22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-04-01 00:00:00.000,Jr2BLM2dWtJJZDMPdH2gy4,,I Apr22
14203,2022-03-01 11:39:16.297,VSI,I,I Mar22-Apr22 Calendar,Buy,0.02,1,3,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Apr22,Spread,COMPLEX,1mo Spread,1mo Spread,Mar22,1,2022-03-01 00:00:00.000,FzQj5gbFtiB8PQ0Os5GJ1F,,I Mar22
14204,2022-03-01 11:39:16.297,VSI,I,I Mar22,Buy,100.515,1,2,9a57896a-4f11-4a38-9488-acc01decc3b1,Mar22,Mar22,Outright,COMPLEX,Outright,1mo Spread,Mar22,0,2022-03-01 00:00:00.000,GVSD9lGsS1ZAikvj9FjshQ,,I Mar22
